2025-12-13 14:51:07,305 -- 1765630267.305587 -- [MOVE] [Snap: 127] [Seq: 35] Player 2 moved from (0, 15) to (0, 14)
2025-12-13 14:51:07,346 -- 1765630267.346953 -- [MOVE] [Snap: 128] [Seq: 29] Player 3 moved from (0, 1) to (1, 1)
2025-12-13 14:51:07,357 -- 1765630267.357389 -- [MOVE] [Snap: 128] [Seq: 23] Player 4 moved from (1, 4) to (1, 3)
2025-12-13 14:51:07,378 -- 1765630267.378499 -- [MOVE] [Snap: 129] [Seq: 36] Player 2 moved from (0, 14) to (0, 13)
2025-12-13 14:51:07,389 -- 1765630267.389376 -- [MOVE] [Snap: 129] [Seq: 41] Player 1 moved from (6, 3) to (6, 2)
2025-12-13 14:51:07,420 -- 1765630267.420924 -- [MOVE] [Snap: 130] [Seq: 24] Player 4 moved from (1, 3) to (1, 4)
2025-12-13 14:51:07,441 -- 1765630267.441470 -- [MOVE] [Snap: 130] [Seq: 30] Player 3 moved from (1, 1) to (0, 1)
2025-12-13 14:51:07,452 -- 1765630267.452472 -- [MOVE] [Snap: 131] [Seq: 42] Player 1 moved from (6, 2) to (5, 2)
2025-12-13 14:51:07,473 -- 1765630267.473119 -- [MOVE] [Snap: 131] [Seq: 25] Player 4 moved from (1, 4) to (1, 3)
2025-12-13 14:51:07,504 -- 1765630267.504447 -- [MOVE] [Snap: 132] [Seq: 43] Player 1 moved from (5, 2) to (4, 2)
2025-12-13 14:51:07,504 -- 1765630267.504919 -- [MOVE] [Snap: 132] [Seq: 31] Player 3 moved from (0, 1) to (0, 2)
2025-12-13 14:51:07,566 -- 1765630267.566383 -- [MOVE] [Snap: 133] [Seq: 26] Player 4 moved from (1, 3) to (1, 4)
2025-12-13 14:51:07,566 -- 1765630267.566725 -- [MOVE] [Snap: 133] [Seq: 38] Player 2 moved from (0, 13) to (1, 13)
2025-12-13 14:51:07,587 -- 1765630267.587587 -- [CLAIM] [Snap: 134] [Seq: 32] Player 3 successfully CLAIMED block at (0, 2)
2025-12-13 14:51:07,608 -- 1765630267.608126 -- [MOVE] [Snap: 134] [Seq: 44] Player 1 moved from (4, 2) to (5, 2)
2025-12-13 14:51:07,629 -- 1765630267.629144 -- [MOVE] [Snap: 135] [Seq: 39] Player 2 moved from (1, 13) to (0, 13)
2025-12-13 14:51:07,629 -- 1765630267.629489 -- [CLAIM] [Snap: 135] [Seq: 27] Player 4 successfully CLAIMED block at (1, 4)
2025-12-13 14:51:07,660 -- 1765630267.660735 -- [MOVE] [Snap: 136] [Seq: 45] Player 1 moved from (5, 2) to (6, 2)
2025-12-13 14:51:07,691 -- 1765630267.691295 -- [MOVE] [Snap: 136] [Seq: 28] Player 4 moved from (1, 4) to (0, 4)
2025-12-13 14:51:07,722 -- 1765630267.722323 -- [MOVE] [Snap: 137] [Seq: 46] Player 1 moved from (6, 2) to (6, 3)
2025-12-13 14:51:07,763 -- 1765630267.763705 -- [MOVE] [Snap: 138] [Seq: 34] Player 3 moved from (0, 2) to (0, 1)
2025-12-13 14:51:07,786 -- 1765630267.786037 -- [MOVE] [Snap: 139] [Seq: 29] Player 4 moved from (0, 4) to (1, 4)
2025-12-13 14:51:07,806 -- 1765630267.806566 -- [MOVE] [Snap: 139] [Seq: 41] Player 2 moved from (0, 13) to (0, 12)
2025-12-13 14:51:07,806 -- 1765630267.806919 -- [BOOST] [Snap: 139] [Seq: 41] Player 2 collected BOOST (Type 1) at (0, 12)!
2025-12-13 14:51:07,827 -- 1765630267.827856 -- [CLAIM] [Snap: 140] [Seq: 47] Player 1 successfully CLAIMED block at (6, 3)
2025-12-13 14:51:07,848 -- 1765630267.848574 -- [MOVE] [Snap: 140] [Seq: 35] Player 3 moved from (0, 1) to (0, 0)
2025-12-13 14:51:07,870 -- 1765630267.870038 -- [MOVE] [Snap: 141] [Seq: 30] Player 4 moved from (1, 4) to (0, 4)
2025-12-13 14:51:07,911 -- 1765630267.911476 -- [MOVE] [Snap: 142] [Seq: 48] Player 1 moved from (6, 3) to (6, 2)
2025-12-13 14:51:07,942 -- 1765630267.942264 -- [MOVE] [Snap: 142] [Seq: 31] Player 4 moved from (0, 4) to (0, 5)
2025-12-13 14:51:07,985 -- 1765630267.985774 -- [MOVE] [Snap: 143] [Seq: 49] Player 1 moved from (6, 2) to (6, 1)
2025-12-13 14:51:08,017 -- 1765630268.017314 -- [MOVE] [Snap: 144] [Seq: 44] Player 2 moved from (0, 12) to (1, 12)
2025-12-13 14:51:08,017 -- 1765630268.017591 -- [CLAIM] [Snap: 144] [Seq: 32] Player 4 successfully CLAIMED block at (0, 5)
2025-12-13 14:51:08,048 -- 1765630268.048614 -- [MOVE] [Snap: 145] [Seq: 50] Player 1 moved from (6, 1) to (5, 1)
2025-12-13 14:51:08,079 -- 1765630268.079926 -- [MOVE] [Snap: 146] [Seq: 45] Player 2 moved from (1, 12) to (2, 12)
2025-12-13 14:51:08,110 -- 1765630268.110682 -- [MOVE] [Snap: 146] [Seq: 38] Player 3 moved from (0, 0) to (1, 0)
2025-12-13 14:51:08,121 -- 1765630268.121223 -- [MOVE] [Snap: 147] [Seq: 51] Player 1 moved from (5, 1) to (4, 1)
2025-12-13 14:51:08,133 -- 1765630268.133637 -- [MOVE] [Snap: 147] [Seq: 46] Player 2 moved from (2, 12) to (2, 13)
2025-12-13 14:51:08,154 -- 1765630268.154829 -- [GAME] [Snap: 148] Spawned Event 4 (Type 1) at 3,19
2025-12-13 14:51:08,175 -- 1765630268.175536 -- [MOVE] [Snap: 148] [Seq: 39] Player 3 moved from (1, 0) to (0, 0)
2025-12-13 14:51:08,196 -- 1765630268.196618 -- [MOVE] [Snap: 148] [Seq: 52] Player 1 moved from (4, 1) to (5, 1)
2025-12-13 14:51:08,196 -- 1765630268.196955 -- [MOVE] [Snap: 148] [Seq: 34] Player 4 moved from (0, 5) to (0, 4)
2025-12-13 14:51:08,238 -- 1765630268.238225 -- [CLAIM] [Snap: 149] [Seq: 47] Player 2 successfully CLAIMED block at (2, 13)
